role_id,user_id,role_name,assigned_date
1,1,viewer,2025-06-19
2,2,viewer,2026-02-08
3,3,editor,2026-01-12
4,4,admin,2025-05-07
5,5,admin,2025-08-25
6,6,invalid_role,2026-01-02
7,7,admin,2025-09-25
8,8,viewer,2025-12-23
9,9,editor,2025-08-23
10,10,viewer,2025-09-05
11,11,invalid_role,2026-03-18
12,12,editor,2025-07-29
13,13,invalid_role,2026-02-02
14,14,editor,2025-09-06
15,15,admin,2025-11-08
16,16,admin,2026-01-06
17,17,admin,2026-01-11
18,18,editor,2025-08-09
19,19,viewer,2025-05-04
20,20,viewer,2025-07-04
21,21,viewer,2026-03-27
22,22,admin,2025-06-06
23,23,editor,2025-11-24
24,24,invalid_role,2026-02-19
25,25,editor,2025-11-24
26,26,admin,2026-01-05
27,27,admin,2025-10-19
28,28,admin,2025-11-14
29,29,editor,2025-09-27
30,30,invalid_role,2025-07-12
31,31,editor,2026-01-13
32,32,viewer,2025-09-02
33,33,admin,2025-04-25
34,34,admin,2025-06-09
35,35,invalid_role,2026-03-02
36,36,admin,2026-01-26
37,37,viewer,2025-08-21
38,38,editor,2025-08-30
39,39,viewer,2025-06-28
40,40,editor,2026-03-18
41,41,admin,2026-02-14
42,42,viewer,2026-02-24
43,43,admin,2026-01-15
44,44,admin,2025-07-22
45,45,viewer,2025-11-06
46,46,invalid_role,2025-04-24
47,47,editor,2025-06-01
48,48,admin,2025-11-20
49,49,editor,2025-12-27
50,50,admin,2026-03-22
51,51,editor,2025-12-30
52,52,viewer,2026-03-06
53,53,viewer,2025-06-18
54,54,editor,2025-12-21
55,55,admin,2025-11-29
56,56,editor,2025-09-29
57,57,admin,2026-03-07
58,58,viewer,2025-04-20
59,59,editor,2026-01-09
60,60,editor,2025-04-10
61,61,editor,2025-07-05
62,62,admin,2025-04-07
63,63,editor,2025-05-13
64,64,admin,2025-11-29
65,65,editor,2025-10-17
66,66,admin,2025-09-01
67,67,admin,2026-03-06
68,68,editor,2025-04-27
69,69,admin,2025-10-17
70,70,admin,2025-04-13
71,71,admin,2026-03-22
72,72,viewer,2025-09-21
73,73,editor,2025-08-04
74,74,viewer,2025-10-24
75,75,admin,2025-09-21
76,76,viewer,2025-05-04
77,77,viewer,2025-04-28
78,78,editor,2025-06-14
79,79,invalid_role,2025-09-17
80,80,admin,2025-12-26
81,81,editor,2025-10-15
82,82,admin,2025-08-31
83,83,admin,2026-03-18
84,84,admin,2025-08-06
85,85,viewer,2026-01-31
86,86,editor,2026-02-25
87,87,editor,2026-03-23
88,88,admin,2025-09-18
89,89,admin,2025-08-27
90,90,viewer,2025-11-02
91,91,admin,2025-04-12
92,92,editor,2025-09-03
93,93,admin,2025-07-15
94,94,admin,2026-01-17
95,95,editor,2026-01-02
96,96,admin,2025-12-24
97,97,admin,2025-10-22
98,98,editor,2025-09-03
99,99,viewer,2025-05-06
100,100,viewer,2025-08-06
101,101,admin,2025-05-11
102,102,editor,2026-02-21
103,103,viewer,2025-12-02
104,104,admin,2026-01-20
105,105,editor,2026-02-28
106,106,viewer,2025-09-14
107,107,viewer,2025-07-02
108,108,invalid_role,2026-01-20
109,109,viewer,2026-03-08
110,110,admin,2026-01-19
111,111,admin,2025-11-03
112,112,editor,2025-06-06
113,113,editor,2025-06-25
114,114,invalid_role,2026-01-07
115,115,invalid_role,2025-05-08
116,116,viewer,2025-04-12
117,117,invalid_role,2025-09-13
118,118,viewer,2025-10-29
119,119,editor,2025-04-30
120,120,admin,2026-02-13
121,121,admin,2026-02-24
122,122,admin,2025-04-08
123,123,viewer,2025-07-18
124,124,invalid_role,2025-09-29
125,125,admin,2025-12-22
126,126,viewer,2025-09-10
127,127,editor,2025-08-07
128,128,invalid_role,2025-07-26
129,129,viewer,2025-12-11
130,130,editor,2025-07-21
131,131,editor,2025-05-17
132,132,viewer,2025-12-16
133,133,admin,2025-06-08
134,134,admin,2025-11-14
135,135,viewer,2026-02-07
136,136,editor,2025-06-15
137,137,viewer,2025-06-25
138,138,invalid_role,2025-11-06
139,139,editor,2026-01-11
140,140,viewer,2026-01-16
141,141,invalid_role,2025-04-11
142,142,editor,2025-08-27
143,143,invalid_role,2025-06-09
144,144,editor,2026-03-18
145,145,editor,2025-11-19
146,146,admin,2025-12-03
147,147,viewer,2026-01-30
148,148,viewer,2025-10-11
149,149,viewer,2025-06-08
150,150,editor,2025-09-23
151,151,admin,2025-11-14
152,152,admin,2026-01-26
153,153,admin,2026-02-11
154,154,invalid_role,2025-06-05
155,155,admin,2025-09-16
156,156,admin,2025-12-03
157,157,viewer,2025-11-11
158,158,admin,2025-04-15
159,159,admin,2025-08-02
160,160,editor,2026-02-08
161,161,viewer,2025-06-06
162,162,admin,2026-03-01
163,163,viewer,2025-10-23
164,164,editor,2025-04-07
165,165,viewer,2026-01-07
166,166,viewer,2025-12-26
167,167,viewer,2025-07-03
168,168,viewer,2025-12-11
169,169,editor,2026-02-23
170,170,editor,2026-02-20
171,171,viewer,2025-09-04
172,172,admin,2026-02-24
173,173,editor,2025-04-20
174,174,viewer,2025-07-01
175,175,viewer,2025-10-21
176,176,viewer,2026-02-10
177,177,viewer,2026-03-27
178,178,viewer,2025-04-02
179,179,invalid_role,2025-12-25
180,180,editor,2025-05-02
181,181,viewer,2025-07-07
182,182,editor,2025-07-02
183,183,admin,2025-05-23
184,184,admin,2025-12-21
185,185,admin,2026-01-04
186,186,admin,2025-09-25
187,187,editor,2025-05-02
188,188,admin,2025-07-08
189,189,admin,2026-01-28
190,190,editor,2025-07-12
191,191,viewer,2025-05-14
192,192,admin,2026-02-15
193,193,admin,2026-02-28
194,194,editor,2025-05-14
195,195,editor,2025-09-01
196,196,viewer,2025-08-24
197,197,viewer,2026-01-02
198,198,viewer,2026-02-20
199,199,editor,2025-04-30
200,200,admin,2026-01-25
201,201,admin,2026-02-05
202,202,invalid_role,2025-05-17
203,203,viewer,2025-08-25
204,204,admin,2026-02-25
205,205,admin,2025-09-11
206,206,admin,2025-09-04
207,207,editor,2025-07-14
208,208,editor,2025-04-27
209,209,admin,2025-05-13
210,210,editor,2025-09-28
211,211,editor,2025-04-04
212,212,editor,2025-07-07
213,213,editor,2026-01-10
214,214,admin,2026-02-10
215,215,admin,2026-02-25
216,216,admin,2025-12-13
217,217,editor,2026-01-23
218,218,admin,2025-05-30
219,219,admin,2025-05-14
220,220,editor,2025-09-06
221,221,editor,2025-07-19
222,222,editor,2026-03-18
223,223,editor,2026-01-08
224,224,viewer,2025-04-01
225,225,editor,2025-10-08
226,226,viewer,2025-12-16
227,227,viewer,2025-12-22
228,228,admin,2025-06-16
229,229,admin,2025-06-25
230,230,editor,2025-11-18
231,231,admin,2025-05-28
232,232,editor,2025-11-01
233,233,editor,2025-07-04
234,234,admin,2025-10-17
235,235,admin,2025-05-24
236,236,viewer,2025-05-25
237,237,admin,2026-01-09
238,238,editor,2025-08-17
239,239,admin,2025-05-28
240,240,editor,2025-07-12
241,241,viewer,2026-02-15
242,242,viewer,2025-11-01
243,243,editor,2025-09-01
244,244,viewer,2025-11-16
245,245,viewer,2025-09-29
246,246,admin,2025-09-11
247,247,viewer,2025-10-21
248,248,admin,2025-10-20
249,249,viewer,2025-06-07
250,250,viewer,2025-05-28
251,251,editor,2026-02-07
252,252,editor,2025-10-03
253,253,admin,2025-10-04
254,254,viewer,2026-01-29
255,255,editor,2026-03-14
256,256,admin,2025-04-26
257,257,invalid_role,2025-08-10
258,258,invalid_role,2025-07-29
